,stats,aic
170,"ARIMA(0, 2, 0)x(0, 2, 2, 12)",913.6259046599171
171,"ARIMA(0, 2, 0)x(1, 0, 0, 12)",853.1432018366897
172,"ARIMA(0, 2, 0)x(1, 0, 1, 12)",840.4461646224534
173,"ARIMA(0, 2, 0)x(1, 0, 2, 12)",823.2213170656495
174,"ARIMA(0, 2, 0)x(1, 1, 0, 12)",1036.6389793203675
175,"ARIMA(0, 2, 0)x(1, 1, 1, 12)",876.6365456323676
176,"ARIMA(0, 2, 0)x(1, 1, 2, 12)",844.1646381383543
177,"ARIMA(0, 2, 0)x(1, 2, 0, 12)",1366.0375048071655
178,"ARIMA(0, 2, 0)x(1, 2, 1, 12)",1065.817286012249
179,"ARIMA(0, 2, 0)x(1, 2, 2, 12)",921.3273125888828
180,"ARIMA(0, 2, 0)x(2, 0, 0, 12)",821.8251142855252
181,"ARIMA(0, 2, 0)x(2, 0, 1, 12)",823.8009074088693
182,"ARIMA(0, 2, 0)x(2, 0, 2, 12)",824.4302671298487
183,"ARIMA(0, 2, 0)x(2, 1, 0, 12)",972.9106346700756
184,"ARIMA(0, 2, 0)x(2, 1, 1, 12)",843.7808273232946
185,"ARIMA(0, 2, 0)x(2, 1, 2, 12)",842.1603330273317
186,"ARIMA(0, 2, 0)x(2, 2, 0, 12)",1238.3186733730302
187,"ARIMA(0, 2, 0)x(2, 2, 1, 12)",1005.0819201050225
188,"ARIMA(0, 2, 0)x(2, 2, 2, 12)",908.1963676682515
189,"ARIMA(0, 2, 1)x(0, 0, 0, 12)",357.17720016114254
190,"ARIMA(0, 2, 1)x(0, 0, 1, 12)",331.4569760057226
191,"ARIMA(0, 2, 1)x(0, 0, 2, 12)",330.48546612072744
192,"ARIMA(0, 2, 1)x(0, 1, 0, 12)",678.3445430051898
193,"ARIMA(0, 2, 1)x(0, 1, 1, 12)",379.73324089126993
194,"ARIMA(0, 2, 1)x(0, 1, 2, 12)",360.56616893535335
195,"ARIMA(0, 2, 1)x(0, 2, 0, 12)",1169.9479683297263
196,"ARIMA(0, 2, 1)x(0, 2, 1, 12)",686.6626315412285
197,"ARIMA(0, 2, 1)x(0, 2, 2, 12)",445.4284858118028
198,"ARIMA(0, 2, 1)x(1, 0, 0, 12)",343.1459545414233
199,"ARIMA(0, 2, 1)x(1, 0, 1, 12)",332.45670980797865
200,"ARIMA(0, 2, 1)x(1, 0, 2, 12)",332.2633119472245
201,"ARIMA(0, 2, 1)x(1, 1, 0, 12)",539.713306757518
202,"ARIMA(0, 2, 1)x(1, 1, 1, 12)",381.37961864527813
203,"ARIMA(0, 2, 1)x(1, 1, 2, 12)",362.559377867732
204,"ARIMA(0, 2, 1)x(1, 2, 0, 12)",881.6109715893422
205,"ARIMA(0, 2, 1)x(1, 2, 1, 12)",585.0526904949861
206,"ARIMA(0, 2, 1)x(1, 2, 2, 12)",447.61896964835273
207,"ARIMA(0, 2, 1)x(2, 0, 0, 12)",330.7316689282768
208,"ARIMA(0, 2, 1)x(2, 0, 1, 12)",332.6869843668593
209,"ARIMA(0, 2, 1)x(2, 0, 2, 12)",333.2990568478681
210,"ARIMA(0, 2, 1)x(2, 1, 0, 12)",483.444997836472
211,"ARIMA(0, 2, 1)x(2, 1, 1, 12)",365.54882784421255
212,"ARIMA(0, 2, 1)x(2, 1, 2, 12)",360.74864255642916
213,"ARIMA(0, 2, 1)x(2, 2, 0, 12)",760.0832862457157
214,"ARIMA(0, 2, 1)x(2, 2, 1, 12)",533.3696160197085
215,"ARIMA(0, 2, 1)x(2, 2, 2, 12)",446.4131790724547
216,"ARIMA(0, 2, 2)x(0, 0, 0, 12)",96.81152520797392
217,"ARIMA(0, 2, 2)x(0, 0, 1, 12)",90.2708052520571
218,"ARIMA(0, 2, 2)x(0, 0, 2, 12)",85.33876362459787
219,"ARIMA(0, 2, 2)x(0, 1, 0, 12)",401.9450172979707
220,"ARIMA(0, 2, 2)x(0, 1, 1, 12)",123.14661315763011
221,"ARIMA(0, 2, 2)x(0, 1, 2, 12)",118.87712695733626
222,"ARIMA(0, 2, 2)x(0, 2, 0, 12)",898.0544598926358
223,"ARIMA(0, 2, 2)x(0, 2, 1, 12)",427.2627959584295
224,"ARIMA(0, 2, 2)x(0, 2, 2, 12)",191.02323785139794
225,"ARIMA(0, 2, 2)x(1, 0, 0, 12)",94.68860587184813
226,"ARIMA(0, 2, 2)x(1, 0, 1, 12)",91.77317346238728
227,"ARIMA(0, 2, 2)x(1, 0, 2, 12)",88.02001997684587
228,"ARIMA(0, 2, 2)x(1, 1, 0, 12)",268.45539904631164
229,"ARIMA(0, 2, 2)x(1, 1, 1, 12)",124.80628364985895
230,"ARIMA(0, 2, 2)x(1, 1, 2, 12)",118.57160200777258
231,"ARIMA(0, 2, 2)x(1, 2, 0, 12)",625.8527678061226
232,"ARIMA(0, 2, 2)x(1, 2, 1, 12)",317.88564584668353
233,"ARIMA(0, 2, 2)x(1, 2, 2, 12)",325.1975195025499
234,"ARIMA(0, 2, 2)x(2, 0, 0, 12)",94.38846898066461
235,"ARIMA(0, 2, 2)x(2, 0, 1, 12)",85.95648730344516
236,"ARIMA(0, 2, 2)x(2, 0, 2, 12)",89.60587238301628
237,"ARIMA(0, 2, 2)x(2, 1, 0, 12)",219.51720319507845
238,"ARIMA(0, 2, 2)x(2, 1, 1, 12)",130.02749375052343
239,"ARIMA(0, 2, 2)x(2, 1, 2, 12)",120.8914296432422
240,"ARIMA(0, 2, 2)x(2, 2, 0, 12)",504.0501784818367
241,"ARIMA(0, 2, 2)x(2, 2, 1, 12)",277.5044100174027
242,"ARIMA(0, 2, 2)x(2, 2, 2, 12)",286.0906755500031
243,"ARIMA(1, 0, 0)x(0, 0, 0, 12)",358.82324974506366
244,"ARIMA(1, 0, 0)x(0, 0, 1, 12)",344.5360370444399
245,"ARIMA(1, 0, 0)x(0, 0, 2, 12)",324.04439619551613
246,"ARIMA(1, 0, 0)x(0, 1, 0, 12)",376.3534189849042
247,"ARIMA(1, 0, 0)x(0, 1, 1, 12)",115.82010410950754
248,"ARIMA(1, 0, 0)x(0, 1, 2, 12)",112.08655316279355
249,"ARIMA(1, 0, 0)x(0, 2, 0, 12)",883.6962025289317
250,"ARIMA(1, 0, 0)x(0, 2, 1, 12)",398.17549127091854
251,"ARIMA(1, 0, 0)x(0, 2, 2, 12)",186.71964013944825
252,"ARIMA(1, 0, 0)x(1, 0, 0, 12)",344.2679141772152
253,"ARIMA(1, 0, 0)x(1, 0, 1, 12)",130.31647910420708
254,"ARIMA(1, 0, 0)x(1, 0, 2, 12)",122.4961792276795
255,"ARIMA(1, 0, 0)x(1, 1, 0, 12)",236.4102886532188
256,"ARIMA(1, 0, 0)x(1, 1, 1, 12)",120.75612430116145
257,"ARIMA(1, 0, 0)x(1, 1, 2, 12)",113.85156684642683
258,"ARIMA(1, 0, 0)x(1, 2, 0, 12)",588.89278736402
