,stats,aic
113,"ARIMA(0, 1, 1)x(0, 1, 2, 12)",-511.78294511725085
114,"ARIMA(0, 1, 1)x(0, 2, 0, 12)",282.0814433377274
115,"ARIMA(0, 1, 1)x(0, 2, 1, 12)",-187.8958719617273
116,"ARIMA(0, 1, 1)x(0, 2, 2, 12)",-426.26066669352457
117,"ARIMA(0, 1, 1)x(1, 0, 0, 12)",-570.0740769142335
118,"ARIMA(0, 1, 1)x(1, 0, 1, 12)",-570.7682547810722
119,"ARIMA(0, 1, 1)x(1, 0, 2, 12)",-559.4285638950428
120,"ARIMA(0, 1, 1)x(1, 1, 0, 12)",-365.1871895475571
121,"ARIMA(0, 1, 1)x(1, 1, 1, 12)",-508.8250502390558
122,"ARIMA(0, 1, 1)x(1, 1, 2, 12)",-518.1362410065451
123,"ARIMA(0, 1, 1)x(1, 2, 0, 12)",2.499292261942273
124,"ARIMA(0, 1, 1)x(1, 2, 1, 12)",-295.9882203360452
125,"ARIMA(0, 1, 1)x(1, 2, 2, 12)",-410.17269414703907
126,"ARIMA(0, 1, 1)x(2, 0, 0, 12)",-564.7787869265496
127,"ARIMA(0, 1, 1)x(2, 0, 1, 12)",-562.7890673881051
128,"ARIMA(0, 1, 1)x(2, 0, 2, 12)",-563.7928584707134
129,"ARIMA(0, 1, 1)x(2, 1, 0, 12)",-402.4103558148275
130,"ARIMA(0, 1, 1)x(2, 1, 1, 12)",-507.3551852396881
131,"ARIMA(0, 1, 1)x(2, 1, 2, 12)",-516.7506678313919
132,"ARIMA(0, 1, 1)x(2, 2, 0, 12)",-113.13596202404952
133,"ARIMA(0, 1, 1)x(2, 2, 1, 12)",-333.28242178838315
134,"ARIMA(0, 1, 1)x(2, 2, 2, 12)",-400.35740223908346
135,"ARIMA(0, 1, 2)x(0, 0, 0, 12)",-581.530623522689
136,"ARIMA(0, 1, 2)x(0, 0, 1, 12)",-567.4901510295554
137,"ARIMA(0, 1, 2)x(0, 0, 2, 12)",-556.9162390813046
138,"ARIMA(0, 1, 2)x(0, 1, 0, 12)",-238.98255114102872
139,"ARIMA(0, 1, 2)x(0, 1, 1, 12)",-513.8807391349629
140,"ARIMA(0, 1, 2)x(0, 1, 2, 12)",-511.52964372609415
141,"ARIMA(0, 1, 2)x(0, 2, 0, 12)",281.89122506938054
142,"ARIMA(0, 1, 2)x(0, 2, 1, 12)",-187.00937485270953
143,"ARIMA(0, 1, 2)x(0, 2, 2, 12)",-427.51132070565257
144,"ARIMA(0, 1, 2)x(1, 0, 0, 12)",-568.0863694879921
145,"ARIMA(0, 1, 2)x(1, 0, 1, 12)",-565.5816526414706
146,"ARIMA(0, 1, 2)x(1, 0, 2, 12)",-555.138441404788
147,"ARIMA(0, 1, 2)x(1, 1, 0, 12)",-363.95033847769645
148,"ARIMA(0, 1, 2)x(1, 1, 1, 12)",-505.5728077559345
149,"ARIMA(0, 1, 2)x(1, 1, 2, 12)",-516.7617684944489
150,"ARIMA(0, 1, 2)x(1, 2, 0, 12)",4.439799493991764
151,"ARIMA(0, 1, 2)x(1, 2, 1, 12)",-294.0728924643708
152,"ARIMA(0, 1, 2)x(1, 2, 2, 12)",-413.8731215067422
153,"ARIMA(0, 1, 2)x(2, 0, 0, 12)",-562.8081053631378
154,"ARIMA(0, 1, 2)x(2, 0, 1, 12)",-560.8187255346577
155,"ARIMA(0, 1, 2)x(2, 0, 2, 12)",-560.1541393886894
156,"ARIMA(0, 1, 2)x(2, 1, 0, 12)",-400.82119721404695
157,"ARIMA(0, 1, 2)x(2, 1, 1, 12)",-505.5118625997012
158,"ARIMA(0, 1, 2)x(2, 1, 2, 12)",-515.2703139090148
159,"ARIMA(0, 1, 2)x(2, 2, 0, 12)",-112.01975676546633
160,"ARIMA(0, 1, 2)x(2, 2, 1, 12)",-331.51538456829866
161,"ARIMA(0, 1, 2)x(2, 2, 2, 12)",-414.64339551018054
162,"ARIMA(0, 2, 0)x(0, 0, 0, 12)",261.02022089555066
163,"ARIMA(0, 2, 0)x(0, 0, 1, 12)",261.98817299262214
164,"ARIMA(0, 2, 0)x(0, 0, 2, 12)",250.2855323342344
165,"ARIMA(0, 2, 0)x(0, 1, 0, 12)",588.513645354364
166,"ARIMA(0, 2, 0)x(0, 1, 1, 12)",284.06106411300857
167,"ARIMA(0, 2, 0)x(0, 1, 2, 12)",283.0718786398177
168,"ARIMA(0, 2, 0)x(0, 2, 0, 12)",1084.1320945263815
169,"ARIMA(0, 2, 0)x(0, 2, 1, 12)",599.6133118848691
170,"ARIMA(0, 2, 0)x(0, 2, 2, 12)",347.5003286344131
171,"ARIMA(0, 2, 0)x(1, 0, 0, 12)",262.14485096375836
172,"ARIMA(0, 2, 0)x(1, 0, 1, 12)",263.75071710191844
173,"ARIMA(0, 2, 0)x(1, 0, 2, 12)",252.23233041830338
174,"ARIMA(0, 2, 0)x(1, 1, 0, 12)",452.22099512410665
175,"ARIMA(0, 2, 0)x(1, 1, 1, 12)",286.0610647164591
176,"ARIMA(0, 2, 0)x(1, 1, 2, 12)",283.68300135030324
177,"ARIMA(0, 2, 0)x(1, 2, 0, 12)",812.1808339467195
178,"ARIMA(0, 2, 0)x(1, 2, 1, 12)",497.4215794656123
179,"ARIMA(0, 2, 0)x(1, 2, 2, 12)",349.5784659119722
180,"ARIMA(0, 2, 0)x(2, 0, 0, 12)",249.36324334024584
181,"ARIMA(0, 2, 0)x(2, 0, 1, 12)",251.33162862900156
182,"ARIMA(0, 2, 0)x(2, 0, 2, 12)",235.09034139758108
183,"ARIMA(0, 2, 0)x(2, 1, 0, 12)",377.3791986140753
184,"ARIMA(0, 2, 0)x(2, 1, 1, 12)",287.9368857924775
185,"ARIMA(0, 2, 0)x(2, 1, 2, 12)",287.36375624327616
186,"ARIMA(0, 2, 0)x(2, 2, 0, 12)",653.1952276181937
187,"ARIMA(0, 2, 0)x(2, 2, 1, 12)",424.8809416060008
188,"ARIMA(0, 2, 0)x(2, 2, 2, 12)",383.22131937653927
189,"ARIMA(0, 2, 1)x(0, 0, 0, 12)",-270.3871525238578
190,"ARIMA(0, 2, 1)x(0, 0, 1, 12)",-263.06851229292954
191,"ARIMA(0, 2, 1)x(0, 0, 2, 12)",-257.75253087527796
192,"ARIMA(0, 2, 1)x(0, 1, 0, 12)",69.40744220273521
193,"ARIMA(0, 2, 1)x(0, 1, 1, 12)",-219.26550631961652
194,"ARIMA(0, 2, 1)x(0, 1, 2, 12)",-215.43143953415162
195,"ARIMA(0, 2, 1)x(0, 2, 0, 12)",575.1921919628785
196,"ARIMA(0, 2, 1)x(0, 2, 1, 12)",106.17662391463779
197,"ARIMA(0, 2, 1)x(0, 2, 2, 12)",-136.26973606405483
198,"ARIMA(0, 2, 1)x(1, 0, 0, 12)",-258.3187091353737
199,"ARIMA(0, 2, 1)x(1, 0, 1, 12)",-262.2626746259301
200,"ARIMA(0, 2, 1)x(1, 0, 2, 12)",-255.7609321270648
201,"ARIMA(0, 2, 1)x(1, 1, 0, 12)",-54.238063743737584
202,"ARIMA(0, 2, 1)x(1, 1, 1, 12)",-217.26550614019334
203,"ARIMA(0, 2, 1)x(1, 1, 2, 12)",-216.76815945667977
204,"ARIMA(0, 2, 1)x(1, 2, 0, 12)",316.3490096058589
205,"ARIMA(0, 2, 1)x(1, 2, 1, 12)",6.561168385529072
206,"ARIMA(0, 2, 1)x(1, 2, 2, 12)",-134.26961111501956
207,"ARIMA(0, 2, 1)x(2, 0, 0, 12)",-260.08253930067286
208,"ARIMA(0, 2, 1)x(2, 0, 1, 12)",-258.0836537124223
209,"ARIMA(0, 2, 1)x(2, 0, 2, 12)",-277.4682168326813
210,"ARIMA(0, 2, 1)x(2, 1, 0, 12)",-113.14921586869177
211,"ARIMA(0, 2, 1)x(2, 1, 1, 12)",-204.7245221189013
212,"ARIMA(0, 2, 1)x(2, 1, 2, 12)",-210.56894310545024
213,"ARIMA(0, 2, 1)x(2, 2, 0, 12)",178.39275280198856
214,"ARIMA(0, 2, 1)x(2, 2, 1, 12)",-47.950469262815304
215,"ARIMA(0, 2, 1)x(2, 2, 2, 12)",-102.40065333496726
